"","doi","score","title","year","title_score","merge_score","fullCitation","authors","journal","cite_count_crossref","journal_tf","original_citation","citation_rank","id"
"1","http://dx.doi.org/10.1038/524409a",5.6943264,"Water and climate: Recognize anthropogenic drought",2015,0.7,3.98602848,"Amir AghaKouchak, David Feldman, Martin Hoerling, Travis Huxman, Jay Lund, 2015, 'Water and climate: Recognize anthropogenic drought', <i>Nature</i>, vol. 524, no. 7566, pp. 409-411","Amir AghaKouchak, David Feldman, Martin Hoerling, Travis Huxman, Jay Lund","Nature",3,1,"AghaKouchak A., Feldman D., Hoerling M., Huxman T., Lund J., 2015, Recognize Anthropogenic Drought, Nature, 524 (7566), 409-4011, doi:10.1038/524409a.","1","cv_amir"
"2","http://dx.doi.org/10.1073/pnas.1422945112",4.07934,"Substantial increase in concurrent droughts and heatwaves in the United States",2015,1,4.07934,"Omid Mazdiyasni, Amir AghaKouchak, 2015, 'Substantial increase in concurrent droughts and heatwaves in the United States', <i>Proceedings of the National Academy of Sciences</i>, vol. 112, no. 37, pp. 11484-11489","Omid Mazdiyasni, Amir AghaKouchak","Proceedings of the National Academy of Sciences",0,1,"Mazdiyasni O., AghaKouchak A., 2015, Substantial Increase in Concurrent Droughts and Heatwaves in the United States, Proceedings of the National Academy of Sciences, doi: 10.1073/pnas.1422945112.","1","cv_amir"
"3","http://dx.doi.org/10.1007/s00704-014-1139-6",0.47717005,"Trends in meteorological and agricultural droughts in Iran",2014,0.4,0.19086802,"S. Golian, O. Mazdiyasni, A. AghaKouchak, 2014, 'Trends in meteorological and agricultural droughts in Iran', <i>Theoretical and Applied Climatology</i>, vol. 119, no. 3-4, pp. 679-688","S. Golian, O. Mazdiyasni, A. AghaKouchak","Theoretical and Applied Climatology",6,0,"Mazdiyasni O., AghaKouchak A., 2015, Substantial Increase in Concurrent Droughts and Heatwaves in the United States, Proceedings of the National Academy of Sciences, doi: 10.1073/pnas.1422945112.","2","cv_amir"
"4","http://dx.doi.org/10.1002/2014gl062308",0.37250793,"Global warming and changes in risk of concurrent climate extremes: Insights from the 2014 California drought",2014,0.3,0.111752379,"Amir AghaKouchak, Linyin Cheng, Omid Mazdiyasni, Alireza Farahmand, 2014, 'Global warming and changes in risk of concurrent climate extremes: Insights from the 2014 California drought', <i>Geophysical Research Letters</i>, vol. 41, no. 24, pp. 8847-8852","Amir AghaKouchak, Linyin Cheng, Omid Mazdiyasni, Alireza Farahmand","Geophysical Research Letters",21,0,"Mazdiyasni O., AghaKouchak A., 2015, Substantial Increase in Concurrent Droughts and Heatwaves in the United States, Proceedings of the National Academy of Sciences, doi: 10.1073/pnas.1422945112.","3","cv_amir"
"5","http://dx.doi.org/10.1126/science.349.6250.799-a",7.462582,"Drought threatens California's levees",2015,1,7.462582,"F. Vahedifard, A. AghaKouchak, J. D. Robinson, 2015, 'Drought threatens California&#39;s levees', <i>Science</i>, vol. 349, no. 6250, pp. 799-799","F. Vahedifard, A. AghaKouchak, J. D. Robinson","Science",0,1,"Vahedifard F., AghaKouchak A., Robinson J.D., 2015, Drought threatens California’s levees, Science, 349 (6250), 799, doi: 10.1126/science.349.6250.799-a.","1","cv_amir"
"6","http://dx.doi.org/10.1002/2014rg000456",3.658877,"Remote sensing of drought: Progress, challenges and opportunities",2015,1,3.658877,"A. AghaKouchak, A. Farahmand, F. S. Melton, J. Teixeira, M. C. Anderson, B. D. Wardlow, C. R. Hain, 2015, 'Remote sensing of drought: Progress, challenges and opportunities', <i>Reviews of Geophysics</i>, vol. 53, no. 2, pp. 452-480","A. AghaKouchak, A. Farahmand, F. S. Melton, J. Teixeira, M. C. Anderson, B. D. Wardlow, C. R. Hain","Reviews of Geophysics",4,1,"AghaKouchak A., Farahmand A., Teixeira J., Wardlow B.D., Melton F.S., Anderson M.C., Hain C.R., 2015, Remote Sensing of Drought: Progress, Challenges and Opportunities, Reviews of Geophysics, 53(2), 452-480, doi: 10.1002/2014RG000456.","1","cv_amir"
"7","http://dx.doi.org/10.1038/srep08553",0.48042047,"A Vantage from Space Can Detect Earlier Drought Onset: An Approach Using Relative Humidity",2015,0.3,0.144126141,"Alireza Farahmand, Amir AghaKouchak, Joao Teixeira, 2015, 'A Vantage from Space Can Detect Earlier Drought Onset: An Approach Using Relative Humidity', <i>Scientific Reports</i>, vol. 5, p. 8553","Alireza Farahmand, Amir AghaKouchak, Joao Teixeira","Scientific Reports",2,0,"AghaKouchak A., Farahmand A., Teixeira J., Wardlow B.D., Melton F.S., Anderson M.C., Hain C.R., 2015, Remote Sensing of Drought: Progress, Challenges and Opportunities, Reviews of Geophysics, 53(2), 452-480, doi: 10.1002/2014RG000456.","2","cv_amir"
"8","http://dx.doi.org/10.1016/j.advwatres.2014.11.012",0.33401626,"A generalized framework for deriving nonparametric standardized drought indicators",2015,0.3,0.100204878,"Alireza Farahmand, Amir AghaKouchak, 2015, 'A generalized framework for deriving nonparametric standardized drought indicators', <i>Advances in Water Resources</i>, vol. 76, pp. 140-145","Alireza Farahmand, Amir AghaKouchak","Advances in Water Resources",6,0,"AghaKouchak A., Farahmand A., Teixeira J., Wardlow B.D., Melton F.S., Anderson M.C., Hain C.R., 2015, Remote Sensing of Drought: Progress, Challenges and Opportunities, Reviews of Geophysics, 53(2), 452-480, doi: 10.1002/2014RG000456.","3","cv_amir"
"9","http://dx.doi.org/10.1038/sdata.2014.1",0.23863217,"Global integrated drought monitoring and prediction system",2014,0.3,0.071589651,"Zengchao Hao, Amir AghaKouchak, Navid Nakhjiri, Alireza Farahmand, 2014, 'Global integrated drought monitoring and prediction system', <i>Scientific Data</i>, vol. 1","Zengchao Hao, Amir AghaKouchak, Navid Nakhjiri, Alireza Farahmand","Scientific Data",18,0,"AghaKouchak A., Farahmand A., Teixeira J., Wardlow B.D., Melton F.S., Anderson M.C., Hain C.R., 2015, Remote Sensing of Drought: Progress, Challenges and Opportunities, Reviews of Geophysics, 53(2), 452-480, doi: 10.1002/2014RG000456.","4","cv_amir"
"10","http://dx.doi.org/10.1080/01431161.2014.999170",0.22028834,"An object-based approach for verification of precipitation estimation",2015,0.3,0.066086502,"J. Li, K. Hsu, A. AghaKouchak, S. Sorooshian, 2015, 'An object-based approach for verification of precipitation estimation', <i>International Journal of Remote Sensing</i>, vol. 36, no. 2, pp. 513-529","J. Li, K. Hsu, A. AghaKouchak, S. Sorooshian","International Journal of Remote Sensing",2,0,"AghaKouchak A., Farahmand A., Teixeira J., Wardlow B.D., Melton F.S., Anderson M.C., Hain C.R., 2015, Remote Sensing of Drought: Progress, Challenges and Opportunities, Reviews of Geophysics, 53(2), 452-480, doi: 10.1002/2014RG000456.","5","cv_amir"
"11","http://dx.doi.org/10.1002/2015jd023147",3.9275575,"A hybrid framework for assessing socioeconomic drought: Linking climate variability, local resilience, and demand",2015,1,3.9275575,"Ali Mehran, Omid Mazdiyasni, Amir AghaKouchak, 2015, 'A hybrid framework for assessing socioeconomic drought: Linking climate variability, local resilience, and demand', <i>Journal of Geophysical Research: Atmospheres</i>, vol. 120, no. 15, pp. 7520-7533","Ali Mehran, Omid Mazdiyasni, Amir AghaKouchak","Journal of Geophysical Research: Atmospheres",0,0,"Mehran A., Mazdiyasni O., AghaKouchak A., 2015, A Hybrid Framework for Assessing Socioeconomic Drought: Linking Climate Variability, Local Resilience, and Demand, Journal of Geophysical Research, 120 (15), 7520–7533, doi: 10.1002/2015JD023147.","1","cv_amir"
