"","doi","score","normalizedScore","title","fullCitation","coins","year","title_score","merge_score"
"1","http://dx.doi.org/10.1002/2015gl063666",3.6149116,100,"Temperature impacts on the water year 2014 drought in California","Shraddhanand Shukla, Mohammad Safeeq, Amir AghaKouchak, Kaiyu Guan, Chris Funk, 2015, 'Temperature impacts on the water year 2014 drought in California', <i>Geophysical Research Letters</i>, vol. 42, no. 11, pp. 4384-4393","ctx_ver=Z39.88-2004&amp;rft_id=info%3Adoi%2Fhttp%3A%2F%2Fdx.doi.org%2F10.1002%2F2015gl063666&amp;rfr_id=info%3Asid%2Fcrossref.org%3Asearch&amp;rft.atitle=Temperature+impacts+on+the+water+year+2014+drought+in+California&amp;rft.jtitle=Geophysical+Research+Letters&amp;rft.date=2015&amp;rft.volume=42&amp;rft.issue=11&amp;rft.spage=4384&amp;rft.epage=4393&amp;rft.aufirst=Shraddhanand&amp;rft.aulast=Shukla&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.au=Shraddhanand+Shukla&amp;rft.au=+Mohammad+Safeeq&amp;rft.au=+Amir+AghaKouchak&amp;rft.au=+Kaiyu+Guan&amp;rft.au=+Chris+Funk",2015,1,3.6149116
"2","http://dx.doi.org/10.1002/2014gl062308",0.39411595,10,"Global warming and changes in risk of concurrent climate extremes: Insights from the 2014 California drought","Amir AghaKouchak, Linyin Cheng, Omid Mazdiyasni, Alireza Farahmand, 2014, 'Global warming and changes in risk of concurrent climate extremes: Insights from the 2014 California drought', <i>Geophysical Research Letters</i>, vol. 41, no. 24, pp. 8847-8852","ctx_ver=Z39.88-2004&amp;rft_id=info%3Adoi%2Fhttp%3A%2F%2Fdx.doi.org%2F10.1002%2F2014gl062308&amp;rfr_id=info%3Asid%2Fcrossref.org%3Asearch&amp;rft.atitle=Global+warming+and+changes+in+risk+of+concurrent+climate+extremes%3A+Insights+from+the+2014+California+drought&amp;rft.jtitle=Geophysical+Research+Letters&amp;rft.date=2014&amp;rft.volume=41&amp;rft.issue=24&amp;rft.spage=8847&amp;rft.epage=8852&amp;rft.aufirst=Amir&amp;rft.aulast=AghaKouchak&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.au=Amir+AghaKouchak&amp;rft.au=+Linyin+Cheng&amp;rft.au=+Omid+Mazdiyasni&amp;rft.au=+Alireza+Farahmand",2014,0.3,0.118234785
"3","http://dx.doi.org/10.1002/2015gl064593",0.36346865,10,"Revisiting the recent California drought as an extreme value","Scott M. Robeson, 2015, 'Revisiting the recent California drought as an extreme value', <i>Geophysical Research Letters</i>, vol. 42, no. 16, pp. 6771-6779","ctx_ver=Z39.88-2004&amp;rft_id=info%3Adoi%2Fhttp%3A%2F%2Fdx.doi.org%2F10.1002%2F2015gl064593&amp;rfr_id=info%3Asid%2Fcrossref.org%3Asearch&amp;rft.atitle=Revisiting+the+recent+California+drought+as+an+extreme+value&amp;rft.jtitle=Geophysical+Research+Letters&amp;rft.date=2015&amp;rft.volume=42&amp;rft.issue=16&amp;rft.spage=6771&amp;rft.epage=6779&amp;rft.aufirst=Scott+M.&amp;rft.aulast=Robeson&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.au=Scott+M.+Robeson",2015,0.4,0.14538746
"4","http://dx.doi.org/10.1002/2015gl064924",0.34763232,9,"Contribution of anthropogenic warming to California drought during 2012-2014","A. Park Williams, Richard Seager, John T. Abatzoglou, Benjamin I. Cook, Jason E. Smerdon, Edward R. Cook, 2015, 'Contribution of anthropogenic warming to California drought during 2012-2014', <i>Geophysical Research Letters</i>, vol. 42, no. 16, pp. 6819-6828","ctx_ver=Z39.88-2004&amp;rft_id=info%3Adoi%2Fhttp%3A%2F%2Fdx.doi.org%2F10.1002%2F2015gl064924&amp;rfr_id=info%3Asid%2Fcrossref.org%3Asearch&amp;rft.atitle=Contribution+of+anthropogenic+warming+to+California+drought+during+2012-2014&amp;rft.jtitle=Geophysical+Research+Letters&amp;rft.date=2015&amp;rft.volume=42&amp;rft.issue=16&amp;rft.spage=6819&amp;rft.epage=6828&amp;rft.aufirst=A.+Park&amp;rft.aulast=Williams&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.au=A.+Park+Williams&amp;rft.au=+Richard+Seager&amp;rft.au=+John+T.+Abatzoglou&amp;rft.au=+Benjamin+I.+Cook&amp;rft.au=+Jason+E.+Smerdon&amp;rft.au=+Edward+R.+Cook",2015,0.3,0.104289696
"5","http://dx.doi.org/10.1002/2015gl063456",0.33081728,9,"Is climate change implicated in the 2013-2014 California drought? A hydrologic perspective","Yixin Mao, Bart Nijssen, Dennis P. Lettenmaier, 2015, 'Is climate change implicated in the 2013-2014 California drought? A hydrologic perspective', <i>Geophysical Research Letters</i>, vol. 42, no. 8, pp. 2805-2813","ctx_ver=Z39.88-2004&amp;rft_id=info%3Adoi%2Fhttp%3A%2F%2Fdx.doi.org%2F10.1002%2F2015gl063456&amp;rfr_id=info%3Asid%2Fcrossref.org%3Asearch&amp;rft.atitle=Is+climate+change+implicated+in+the+2013-2014+California+drought%3F+A+hydrologic+perspective&amp;rft.jtitle=Geophysical+Research+Letters&amp;rft.date=2015&amp;rft.volume=42&amp;rft.issue=8&amp;rft.spage=2805&amp;rft.epage=2813&amp;rft.aufirst=Yixin&amp;rft.aulast=Mao&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.au=Yixin+Mao&amp;rft.au=+Bart+Nijssen&amp;rft.au=+Dennis+P.+Lettenmaier",2015,0.3,0.099245184
"6","http://dx.doi.org/10.1002/2014gl062737",0.30060446,8,"Direct impacts of waves on tropical cold point tropopause temperature","Ji-Eun Kim, M. Joan Alexander, 2015, 'Direct impacts of waves on tropical cold point tropopause temperature', <i>Geophysical Research Letters</i>, vol. 42, no. 5, pp. 1584-1592","ctx_ver=Z39.88-2004&amp;rft_id=info%3Adoi%2Fhttp%3A%2F%2Fdx.doi.org%2F10.1002%2F2014gl062737&amp;rfr_id=info%3Asid%2Fcrossref.org%3Asearch&amp;rft.atitle=Direct+impacts+of+waves+on+tropical+cold+point+tropopause+temperature&amp;rft.jtitle=Geophysical+Research+Letters&amp;rft.date=2015&amp;rft.volume=42&amp;rft.issue=5&amp;rft.spage=1584&amp;rft.epage=1592&amp;rft.aufirst=Ji-Eun&amp;rft.aulast=Kim&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.au=Ji-Eun+Kim&amp;rft.au=+M.+Joan+Alexander",2015,0.3,0.090181338
"7","http://dx.doi.org/10.1002/2015jd023147",0.29751304,8,"A hybrid framework for assessing socioeconomic drought: Linking climate variability, local resilience, and demand","Ali Mehran, Omid Mazdiyasni, Amir AghaKouchak, 2015, 'A hybrid framework for assessing socioeconomic drought: Linking climate variability, local resilience, and demand', <i>Journal of Geophysical Research: Atmospheres</i>, vol. 120, no. 15, pp. 7520-7533","ctx_ver=Z39.88-2004&amp;rft_id=info%3Adoi%2Fhttp%3A%2F%2Fdx.doi.org%2F10.1002%2F2015jd023147&amp;rfr_id=info%3Asid%2Fcrossref.org%3Asearch&amp;rft.atitle=A+hybrid+framework+for+assessing+socioeconomic+drought%3A+Linking+climate+variability%2C+local+resilience%2C+and+demand&amp;rft.jtitle=Journal+of+Geophysical+Research%3A+Atmospheres&amp;rft.date=2015&amp;rft.volume=120&amp;rft.issue=15&amp;rft.spage=7520&amp;rft.epage=7533&amp;rft.aufirst=Ali&amp;rft.aulast=Mehran&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.au=Ali+Mehran&amp;rft.au=+Omid+Mazdiyasni&amp;rft.au=+Amir+AghaKouchak",2015,0.3,0.089253912
"8","http://dx.doi.org/10.1088/1748-9326/9/8/084015",0.28004286,7,"Can air temperature be used to project influences of climate change on stream temperature?","Ivan Arismendi, Mohammad Safeeq, Jason B Dunham, Sherri L Johnson, 2014, 'Can air temperature be used to project influences of climate change on stream temperature?', <i>Environmental Research Letters</i>, vol. 9, no. 8, p. 084015","ctx_ver=Z39.88-2004&amp;rft_id=info%3Adoi%2Fhttp%3A%2F%2Fdx.doi.org%2F10.1088%2F1748-9326%2F9%2F8%2F084015&amp;rfr_id=info%3Asid%2Fcrossref.org%3Asearch&amp;rft.atitle=Can+air+temperature+be+used+to+project+influences+of+climate+change+on+stream+temperature%3F&amp;rft.jtitle=Environmental+Research+Letters&amp;rft.date=2014&amp;rft.volume=9&amp;rft.issue=8&amp;rft.spage=084015&amp;rft.aufirst=Ivan&amp;rft.aulast=Arismendi&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.au=Ivan+Arismendi&amp;rft.au=+Mohammad+Safeeq&amp;rft.au=+Jason+B+Dunham&amp;rft.au=+Sherri+L+Johnson",2014,0.3,0.084012858
"9","http://dx.doi.org/10.1002/2015gl064127",0.27991787,7,"Assessment of future changes in water availability and aridity","P. Greve, S. I. Seneviratne, 2015, 'Assessment of future changes in water availability and aridity', <i>Geophysical Research Letters</i>, vol. 42, no. 13, pp. 5493-5499","ctx_ver=Z39.88-2004&amp;rft_id=info%3Adoi%2Fhttp%3A%2F%2Fdx.doi.org%2F10.1002%2F2015gl064127&amp;rfr_id=info%3Asid%2Fcrossref.org%3Asearch&amp;rft.atitle=Assessment+of+future+changes+in+water+availability+and+aridity&amp;rft.jtitle=Geophysical+Research+Letters&amp;rft.date=2015&amp;rft.volume=42&amp;rft.issue=13&amp;rft.spage=5493&amp;rft.epage=5499&amp;rft.aufirst=P.&amp;rft.aulast=Greve&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.au=P.+Greve&amp;rft.au=+S.+I.+Seneviratne",2015,0.3,0.083975361
"10","http://dx.doi.org/10.1126/science.343.6178.1430",0.27133828,7,"Australia's Drought: Lessons for California","A. Aghakouchak, D. Feldman, M. J. Stewardson, J.-D. Saphores, S. Grant, B. Sanders, 2014, 'Australia&#39;s Drought: Lessons for California', <i>Science</i>, vol. 343, no. 6178, pp. 1430-1431","ctx_ver=Z39.88-2004&amp;rft_id=info%3Adoi%2Fhttp%3A%2F%2Fdx.doi.org%2F10.1126%2Fscience.343.6178.1430&amp;rfr_id=info%3Asid%2Fcrossref.org%3Asearch&amp;rft.atitle=Australia%27s+Drought%3A+Lessons+for+California&amp;rft.jtitle=Science&amp;rft.date=2014&amp;rft.volume=343&amp;rft.issue=6178&amp;rft.spage=1430&amp;rft.epage=1431&amp;rft.aufirst=A.&amp;rft.aulast=Aghakouchak&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.au=A.+Aghakouchak&amp;rft.au=+D.+Feldman&amp;rft.au=+M.+J.+Stewardson&amp;rft.au=+J.-D.+Saphores&amp;rft.au=+S.+Grant&amp;rft.au=+B.+Sanders",2014,0.6,0.162802968
