"","doi","score","title","year","title_score","merge_score","fullCitation","authors","journal","cite_count_crossref","journal_tf","original_citation","citation_rank","id"
"1","http://dx.doi.org/10.1177/2156869315604346",3.419142,"When Too Much Integration and Regulation Hurts: Reenvisioning Durkheim's Altruistic Suicide",2015,0.95,3.2481849,"S. Abrutyn, A. S. Mueller, 2015, 'When Too Much Integration and Regulation Hurts: Reenvisioning Durkheim&#39;s Altruistic Suicide', <i>Society and Mental Health</i>","S. Abrutyn, A. S. Mueller","Society and Mental Health",0,1,"Abrutyn, Seth and Anna S. Mueller. 2015. “When Too Much Integration and Regulation  Hurts:    Re-Envisioning Durkheim’s Altruistic Suicide.” Society and Mental Health. DOI:  10.1177/2156869315604346","1","Abrutyn_CV"
"2","http://dx.doi.org/10.1111/socf.12110",0.5727208,"Reconsidering Durkheim's Assessment of Tarde: Formalizing a Tardian Theory of Imitation, Contagion, and Suicide Suggestion",2014,0.3,0.17181624,"Seth Abrutyn, Anna S. Mueller, 2014, 'Reconsidering Durkheim&#39;s Assessment of Tarde: Formalizing a Tardian Theory of Imitation, Contagion, and Suicide Suggestion', <i>Sociological Forum</i>, vol. 29, no. 3, pp. 698-719","Seth Abrutyn, Anna S. Mueller","Sociological Forum",0,0,"Abrutyn, Seth and Anna S. Mueller. 2015. “When Too Much Integration and Regulation  Hurts:    Re-Envisioning Durkheim’s Altruistic Suicide.” Society and Mental Health. DOI:  10.1177/2156869315604346","2","Abrutyn_CV"
"3","http://dx.doi.org/10.2105/ajph.2014.302391",0.4358,"Suicide Ideation and Bullying Among US Adolescents: Examining the Intersections of Sexual Orientation, Gender, and Race/Ethnicity",2015,0.3,0.13074,"Anna S. Mueller, Wesley James, Seth Abrutyn, Martin L. Levin, 2015, 'Suicide Ideation and Bullying Among US Adolescents: Examining the Intersections of Sexual Orientation, Gender, and Race/Ethnicity', <i>American Journal of Public Health</i>, vol. 105, no. 5, pp. 980-985","Anna S. Mueller, Wesley James, Seth Abrutyn, Martin L. Levin","American Journal of Public Health",2,0,"Abrutyn, Seth and Anna S. Mueller. 2015. “When Too Much Integration and Regulation  Hurts:    Re-Envisioning Durkheim’s Altruistic Suicide.” Society and Mental Health. DOI:  10.1177/2156869315604346","3","Abrutyn_CV"
"4","http://dx.doi.org/10.1177/0735275114558633",0.39115226,"The Socioemotional Foundations of Suicide: A Microsociological View of Durkheim's Suicide",2014,0.3,0.117345678,"S. Abrutyn, A. S. Mueller, 2014, 'The Socioemotional Foundations of Suicide: A Microsociological View of Durkheim&#39;s Suicide', <i>Sociological Theory</i>, vol. 32, no. 4, pp. 327-351","S. Abrutyn, A. S. Mueller","Sociological Theory",1,0,"Abrutyn, Seth and Anna S. Mueller. 2015. “When Too Much Integration and Regulation  Hurts:    Re-Envisioning Durkheim’s Altruistic Suicide.” Society and Mental Health. DOI:  10.1177/2156869315604346","4","Abrutyn_CV"
"5","http://dx.doi.org/10.1177/0022146514568793",0.29573223,"Suicidal Disclosures among Friends: Using Social Network Data to Understand Suicide Contagion",2015,0.3,0.088719669,"A. S. Mueller, S. Abrutyn, 2015, 'Suicidal Disclosures among Friends: Using Social Network Data to Understand Suicide Contagion', <i>Journal of Health and Social Behavior</i>, vol. 56, no. 1, pp. 131-148","A. S. Mueller, S. Abrutyn","Journal of Health and Social Behavior",0,0,"Abrutyn, Seth and Anna S. Mueller. 2015. “When Too Much Integration and Regulation  Hurts:    Re-Envisioning Durkheim’s Altruistic Suicide.” Society and Mental Health. DOI:  10.1177/2156869315604346","5","Abrutyn_CV"
"6","http://dx.doi.org/10.13060/00380288.2015.51.3.186",6.387936,"Money, Love, and Sacredness: Generalised Symbolic Media and the Production of Instrumental, Affectual, and Moral Reality",2015,0.8,5.1103488,"Seth Abrutyn, 2015, 'Money, Love, and Sacredness: Generalised Symbolic Media and the Production of Instrumental, Affectual, and Moral Reality', <i>Czech Sociological Review</i>, vol. 51, no. 3, p. 445","Seth Abrutyn","Czech Sociological Review",0,1,"Abrutyn, Seth. 2015. “Money, Sacredness, and Love: Generalized Symbolic Media and  the  Production of Instrumental, Affectual, and Moral Reality.” Czech Sociological Review.  51(3):445-471","1","Abrutyn_CV"
"7","http://dx.doi.org/10.1111/j.1467-9558.2009.01358.x",0.32055196,"Toward a General Theory of Institutional Autonomy",2009,0.4,0.128220784,"Seth Abrutyn, 2009, 'Toward a General Theory of Institutional Autonomy', <i>Sociological Theory</i>, vol. 27, no. 4, pp. 449-465","Seth Abrutyn","Sociological Theory",8,0,"Abrutyn, Seth. 2015. “Money, Sacredness, and Love: Generalized Symbolic Media and  the  Production of Instrumental, Affectual, and Moral Reality.” Czech Sociological Review.  51(3):445-471","2","Abrutyn_CV"
"8","http://dx.doi.org/10.2105/ajph.2014.302391",4.9471774,"Suicide Ideation and Bullying Among US Adolescents: Examining the Intersections of Sexual Orientation, Gender, and Race/Ethnicity",2015,0.95,4.69981853,"Anna S. Mueller, Wesley James, Seth Abrutyn, Martin L. Levin, 2015, 'Suicide Ideation and Bullying Among US Adolescents: Examining the Intersections of Sexual Orientation, Gender, and Race/Ethnicity', <i>American Journal of Public Health</i>, vol. 105, no. 5, pp. 980-985","Anna S. Mueller, Wesley James, Seth Abrutyn, Martin L. Levin","American Journal of Public Health",2,1,"Mueller, Anna S., Wesley James, Seth Abrutyn, and Martin Levin. 2015. “Suicide Ideation and    Bullying Among U.S. Adolescents: Examining the Intersection of Sexual Orientation,    Gender, and Race/Ethnicity.” American Journal of Public Health. 105(5):980-985.","1","Abrutyn_CV"
"9","http://dx.doi.org/10.1177/0731121414556544",3.6123528,"Can Social Ties Be Harmful? Examining the Spread of Suicide in Early Adulthood",2014,0.7,2.52864696,"A. S. Mueller, S. Abrutyn, C. Stockton, 2014, 'Can Social Ties Be Harmful? Examining the Spread of Suicide in Early Adulthood', <i>Sociological Perspectives</i>, vol. 58, no. 2, pp. 204-222","A. S. Mueller, S. Abrutyn, C. Stockton","Sociological Perspectives",0,0,"Mueller, Anna S.,*Seth Abrutyn, and Cynthia Stockton. 2015. “Can Social Ties Be Harmful?  Examining the Social Dynamics of Suicide Suggestion in Early Adulthood.” Sociological  Perspectives. 58(2):204-222.","1","Abrutyn_CV"
"10","http://dx.doi.org/10.1111/socf.12110",0.8026653,"Reconsidering Durkheim's Assessment of Tarde: Formalizing a Tardian Theory of Imitation, Contagion, and Suicide Suggestion",2014,0.4,0.32106612,"Seth Abrutyn, Anna S. Mueller, 2014, 'Reconsidering Durkheim&#39;s Assessment of Tarde: Formalizing a Tardian Theory of Imitation, Contagion, and Suicide Suggestion', <i>Sociological Forum</i>, vol. 29, no. 3, pp. 698-719","Seth Abrutyn, Anna S. Mueller","Sociological Forum",1,0,"Mueller, Anna S.,*Seth Abrutyn, and Cynthia Stockton. 2015. “Can Social Ties Be Harmful?  Examining the Social Dynamics of Suicide Suggestion in Early Adulthood.” Sociological  Perspectives. 58(2):204-222.","2","Abrutyn_CV"
"11","http://dx.doi.org/10.1177/0003122413519445",0.48713085,"Are Suicidal Behaviors Contagious in Adolescence? Using Longitudinal Data to Examine Suicide Suggestion",2014,0.4,0.19485234,"S. Abrutyn, A. S. Mueller, 2014, 'Are Suicidal Behaviors Contagious in Adolescence? Using Longitudinal Data to Examine Suicide Suggestion', <i>American Sociological Review</i>, vol. 79, no. 2, pp. 211-227","S. Abrutyn, A. S. Mueller","American Sociological Review",7,0,"Mueller, Anna S.,*Seth Abrutyn, and Cynthia Stockton. 2015. “Can Social Ties Be Harmful?  Examining the Social Dynamics of Suicide Suggestion in Early Adulthood.” Sociological  Perspectives. 58(2):204-222.","3","Abrutyn_CV"
"12","http://dx.doi.org/10.2105/ajph.2014.302391",0.5607976,"Suicide Ideation and Bullying Among US Adolescents: Examining the Intersections of Sexual Orientation, Gender, and Race/Ethnicity",2015,0.3,0.16823928,"Anna S. Mueller, Wesley James, Seth Abrutyn, Martin L. Levin, 2015, 'Suicide Ideation and Bullying Among US Adolescents: Examining the Intersections of Sexual Orientation, Gender, and Race/Ethnicity', <i>American Journal of Public Health</i>, vol. 105, no. 5, pp. 980-985","Anna S. Mueller, Wesley James, Seth Abrutyn, Martin L. Levin","American Journal of Public Health",2,0,"Mueller, Anna S.,*Seth Abrutyn, and Cynthia Stockton. 2015. “Can Social Ties Be Harmful?  Examining the Social Dynamics of Suicide Suggestion in Early Adulthood.” Sociological  Perspectives. 58(2):204-222.","4","Abrutyn_CV"
"13","http://dx.doi.org/10.1177/0735275114558633",0.39956582,"The Socioemotional Foundations of Suicide: A Microsociological View of Durkheim's Suicide",2014,0.4,0.159826328,"S. Abrutyn, A. S. Mueller, 2014, 'The Socioemotional Foundations of Suicide: A Microsociological View of Durkheim&#39;s Suicide', <i>Sociological Theory</i>, vol. 32, no. 4, pp. 327-351","S. Abrutyn, A. S. Mueller","Sociological Theory",0,0,"Mueller, Anna S.,*Seth Abrutyn, and Cynthia Stockton. 2015. “Can Social Ties Be Harmful?  Examining the Social Dynamics of Suicide Suggestion in Early Adulthood.” Sociological  Perspectives. 58(2):204-222.","5","Abrutyn_CV"
"14","http://dx.doi.org/10.1177/0725513615575935",4.6580896,"The role of agency in sociocultural evolution: Institutional entrepreneurship as a force of structural and cultural change",2015,0.95,4.42518512,"S. Abrutyn, J. Van Ness, 2015, 'The role of agency in sociocultural evolution: Institutional entrepreneurship as a force of structural and cultural change', <i>Thesis Eleven</i>, vol. 127, no. 1, pp. 52-77","S. Abrutyn, J. Van Ness","Thesis Eleven",0,0,"Abrutyn, Seth and Justin Van Ness. 2015. “The Role of Agency in Sociocultural Evolution:  Institutional Entrepreneurship as a Force of Structural and Cultural Transformation.” Thesis  Eleven. 127(1):52-77.","1","Abrutyn_CV"
"15","http://dx.doi.org/10.1080/0048721x.2015.1009864",0.6893923,"The institutional evolution of religion: innovation and entrepreneurship in ancient Israel",2015,0.5,0.34469615,"Seth Abrutyn, 2015, 'The institutional evolution of religion: innovation and entrepreneurship in ancient Israel', <i>Religion</i>, vol. 45, no. 4, pp. 505-531","Seth Abrutyn","Religion",0,0,"Abrutyn, Seth and Justin Van Ness. 2015. “The Role of Agency in Sociocultural Evolution:  Institutional Entrepreneurship as a Force of Structural and Cultural Transformation.” Thesis  Eleven. 127(1):52-77.","2","Abrutyn_CV"
"16","http://dx.doi.org/10.1057/ajcs.2014.12",0.39980537,"Pollution–purification rituals, cultural memory and the evolution of religion: How collective trauma shaped ancient Israel",2015,0.3,0.119941611,"Seth Abrutyn, 2015, 'Pollution–purification rituals, cultural memory and the evolution of religion: How collective trauma shaped ancient Israel', <i>American Journal of Cultural Sociology</i>, vol. 3, no. 1, pp. 123-155","Seth Abrutyn","American Journal of Cultural Sociology",0,0,"Abrutyn, Seth and Justin Van Ness. 2015. “The Role of Agency in Sociocultural Evolution:  Institutional Entrepreneurship as a Force of Structural and Cultural Transformation.” Thesis  Eleven. 127(1):52-77.","3","Abrutyn_CV"
"17","http://dx.doi.org/10.1177/0022146514568793",3.1378524,"Suicidal Disclosures among Friends: Using Social Network Data to Understand Suicide Contagion",2015,0.9,2.82406716,"A. S. Mueller, S. Abrutyn, 2015, 'Suicidal Disclosures among Friends: Using Social Network Data to Understand Suicide Contagion', <i>Journal of Health and Social Behavior</i>, vol. 56, no. 1, pp. 131-148","A. S. Mueller, S. Abrutyn","Journal of Health and Social Behavior",0,1,"Mueller, Anna S. and Seth Abrutyn. 2015. “Suicidal Disclosures among Friends: Using Social    Network Data to Understand Suicide Suggestion.” Journal of Health and Social Behavior.  56(1):131-148.    Winner of the Best Publication, ASA Section on Mental Health Section, 2015","1","Abrutyn_CV"
"18","http://dx.doi.org/10.1177/0003122413519445",0.49901518,"Are Suicidal Behaviors Contagious in Adolescence? Using Longitudinal Data to Examine Suicide Suggestion",2014,0.4,0.199606072,"S. Abrutyn, A. S. Mueller, 2014, 'Are Suicidal Behaviors Contagious in Adolescence? Using Longitudinal Data to Examine Suicide Suggestion', <i>American Sociological Review</i>, vol. 79, no. 2, pp. 211-227","S. Abrutyn, A. S. Mueller","American Sociological Review",0,0,"Mueller, Anna S. and Seth Abrutyn. 2015. “Suicidal Disclosures among Friends: Using Social    Network Data to Understand Suicide Suggestion.” Journal of Health and Social Behavior.  56(1):131-148.    Winner of the Best Publication, ASA Section on Mental Health Section, 2015","2","Abrutyn_CV"
"19","http://dx.doi.org/10.1177/2156869315604346",0.5770118,"When Too Much Integration and Regulation Hurts: Reenvisioning Durkheim's Altruistic Suicide",2015,0.3,0.17310354,"S. Abrutyn, A. S. Mueller, 2015, 'When Too Much Integration and Regulation Hurts: Reenvisioning Durkheim&#39;s Altruistic Suicide', <i>Society and Mental Health</i>","S. Abrutyn, A. S. Mueller","Society and Mental Health",0,0,"Mueller, Anna S. and Seth Abrutyn. 2015. “Suicidal Disclosures among Friends: Using Social    Network Data to Understand Suicide Suggestion.” Journal of Health and Social Behavior.  56(1):131-148.    Winner of the Best Publication, ASA Section on Mental Health Section, 2015","3","Abrutyn_CV"
"20","http://dx.doi.org/10.2105/ajph.2014.302391",0.576081,"Suicide Ideation and Bullying Among US Adolescents: Examining the Intersections of Sexual Orientation, Gender, and Race/Ethnicity",2015,0.3,0.1728243,"Anna S. Mueller, Wesley James, Seth Abrutyn, Martin L. Levin, 2015, 'Suicide Ideation and Bullying Among US Adolescents: Examining the Intersections of Sexual Orientation, Gender, and Race/Ethnicity', <i>American Journal of Public Health</i>, vol. 105, no. 5, pp. 980-985","Anna S. Mueller, Wesley James, Seth Abrutyn, Martin L. Levin","American Journal of Public Health",2,0,"Mueller, Anna S. and Seth Abrutyn. 2015. “Suicidal Disclosures among Friends: Using Social    Network Data to Understand Suicide Suggestion.” Journal of Health and Social Behavior.  56(1):131-148.    Winner of the Best Publication, ASA Section on Mental Health Section, 2015","4","Abrutyn_CV"
"21","http://dx.doi.org/10.1111/socf.12110",0.40922722,"Reconsidering Durkheim's Assessment of Tarde: Formalizing a Tardian Theory of Imitation, Contagion, and Suicide Suggestion",2014,0.4,0.163690888,"Seth Abrutyn, Anna S. Mueller, 2014, 'Reconsidering Durkheim&#39;s Assessment of Tarde: Formalizing a Tardian Theory of Imitation, Contagion, and Suicide Suggestion', <i>Sociological Forum</i>, vol. 29, no. 3, pp. 698-719","Seth Abrutyn, Anna S. Mueller","Sociological Forum",1,0,"Mueller, Anna S. and Seth Abrutyn. 2015. “Suicidal Disclosures among Friends: Using Social    Network Data to Understand Suicide Suggestion.” Journal of Health and Social Behavior.  56(1):131-148.    Winner of the Best Publication, ASA Section on Mental Health Section, 2015","5","Abrutyn_CV"
"22","http://dx.doi.org/10.1080/0048721x.2015.1009864",3.797899,"The institutional evolution of religion: innovation and entrepreneurship in ancient Israel",2015,0.95,3.60800405,"Seth Abrutyn, 2015, 'The institutional evolution of religion: innovation and entrepreneurship in ancient Israel', <i>Religion</i>, vol. 45, no. 4, pp. 505-531","Seth Abrutyn","Religion",0,1,"Abrutyn, Seth. 2015. “The Institutional Evolution of Religion: Innovation and Entrepreneurship  in Ancient Israel.” Religion. DOI:10.1080/0048721X.2015.1009864","1","Abrutyn_CV"
"23","http://dx.doi.org/10.1057/ajcs.2014.12",1.2353806,"Pollution–purification rituals, cultural memory and the evolution of religion: How collective trauma shaped ancient Israel",2015,0.4,0.49415224,"Seth Abrutyn, 2015, 'Pollution–purification rituals, cultural memory and the evolution of religion: How collective trauma shaped ancient Israel', <i>American Journal of Cultural Sociology</i>, vol. 3, no. 1, pp. 123-155","Seth Abrutyn","American Journal of Cultural Sociology",0,0,"Abrutyn, Seth. 2015. “The Institutional Evolution of Religion: Innovation and Entrepreneurship  in Ancient Israel.” Religion. DOI:10.1080/0048721X.2015.1009864","2","Abrutyn_CV"
